Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),City,IsCondo,Latitude,Longitude
4300000.0,3.0,0.0,121.0,98.0,Dasmarinas,0,14.285456,120.950177
10760000.0,2.0,2.0,76.0,0.0,Davao,1,7.095857,125.630475
28564000.0,3.0,0.0,237.0,124.0,Muntinlupa,0,14.434669,121.040194
1160000.0,1.0,0.0,46.0,36.0,Santa Maria,0,14.83466,121.33919
5940000.0,2.0,1.0,45.0,0.0,Baguio,1,16.4145653,120.5814088
8408000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
3700000.0,3.0,0.0,55.0,80.0,Tanza,0,14.35989,120.822985
24461000.0,1.0,1.0,70.0,0.0,Pasig,1,14.575822,121.064324
5941000.0,3.0,0.0,112.0,120.0,Silang,0,14.183344,121.012375
2810000.0,1.0,1.0,24.0,0.0,Cebu,1,10.3058395,123.8908567
37060000.0,2.0,3.0,141.0,0.0,San Juan,1,14.600676,121.43876
4547200.0,1.0,1.0,31.0,0.0,Pasay,1,14.55323,120.990226
8795130.0,4.0,0.0,206.0,231.0,General Trias,0,14.2814,120.918211
4200000.0,2.0,1.0,40.0,0.0,Imus,1,14.3841135,120.9356405
4300000.0,2.0,0.0,46.0,120.0,Compostela,0,10.44226,123.994411
8557360.0,4.0,0.0,171.0,176.0,Calamba,0,14.176345,121.122173
2810000.0,1.0,1.0,24.0,0.0,Cebu,1,10.3058395,123.8908567
8000000.0,4.0,3.0,95.0,0.0,Baguio,1,16.384875,120.586268
8915000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
13100000.0,2.0,2.0,73.0,0.0,San Juan,1,14.600676,121.43876
42383000.0,2.0,2.0,114.0,0.0,Pasig,1,14.588377,121.059897
21000000.0,3.0,3.0,107.0,0.0,Mandaue,1,10.3299464,123.9275793
1995000.0,2.0,0.0,50.0,60.0,Tanauan,0,14.0661817,121.1567437
4049000.0,1.0,1.0,19.0,0.0,Manila,1,14.551476,120.9895887
